trait	cho	clm
Acute kidney injury in coronary artery bypass surgery creatinine rise	0;0;0;0;0;0;0.166666666666667;0.166666666666667;0.166666666666667;0;0;0;0;0;0.166666666666667;0.166666666666667;0.333333333333333;0.333333333333333;0;0;0.166666666666667;0;0.166666666666667;0.166666666666667;0;0;0;0;0;0;0;0.166666666666667;0;0;0.166666666666667;0.166666666666667;0;0;0;0;0;0;0;0;0.166666666666667;0.166666666666667;0;0;0;0;0;0;0.166666666666667;0;0;0;0;0;0;0;0;0.166666666666667;0;0.333333333333333;0;0.166666666666667;0;0;0;0;0;0;0;0;0.166666666666667;0;0;0;0.166666666666667;0;0;0;0;0.333333333333333;0;0;0;0.166666666666667;0;0;0;0;0.166666666666667;0	0;0;0.166666666666667;0.166666666666667;0;0;0;0;0;0;0;0;0.166666666666667;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.166666666666667;0;0;0;0;0;0;0;0.166666666666667;0;0;0;0;0;0;0;0;0;0;0;0.166666666666667;0;0;0;0;0;0;0;0;0;0;0;0.166666666666667;0.166666666666667;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Acute lymphoblastic leukemia adolescents and young adults	0;0;0;0.5;0;0;0.5;0.5;0;0;0.5;0.5;0;0;0;0.5;0;0;0;0;0;0;0;0;0;0;0;0.5;0;0.5;0;0;0;0;0;0;0;0.5;0;0;0;0.5;1;0;0;0;0;0;0.5;0;0.5;0.5;0;0;0;0.5;0;0;0;0;0;0;1;0;0.5;0;0.5;0.5;0;0;0.5;0;0;0;0;0;0;0;0.5;0;0;0;0;0;0;0;0.5;0;0.5;0;0;0;0;1	0.5;0.5;0.5;0;0.5;1;0;0;0.5;0.5;0.5;0;0.5;0;0;0;0.5;0.5;0.5;0;0;0.5;0;0;0;0;0.5;0.5;0;0.5;0.5;0.5;0.5;1;0;0;0.5;1;0;0;1;0;0.5;0.5;0;0.5;0.5;0.5;0.5;0.5;0;0.5;0.5;0;0;0.5;1;0;0.5;0;0;0.5;0;0;0.5;1;1;0;0.5;0.5;0.5;1;0.5;1;0.5;1;0.5;0;0.5;0.5;0.5;0;0;1;0.5;1;0.5;0;1;0;0.5;0;0.5;0.5
Acute lymphoblastic leukemia B-cell precursor	1;1;1;0.5;1;1;1;1;1;1;1;1;1;1;1;1;1;0.5;1;1;1;1;1;1;1;1;0.5;1;1;1;0.5;1;1;1;1;0.5;1;1;1;1;1;1;1;0.5;0.5;1;1;1;1;0.5;1;1;1;1;0.5;1;1;1;1;1;1;1;0.5;0.5;1;1;1;1;1;0.5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0.5;1;1;1;1;0.5	None
Acute lymphoblastic leukemia childhood	0.263157894736842;0.263157894736842;0.184210526315789;0.263157894736842;0.276315789473684;0.210526315789474;0.263157894736842;0.184210526315789;0.236842105263158;0.197368421052632;0.263157894736842;0.197368421052632;0.263157894736842;0.25;0.197368421052632;0.25;0.276315789473684;0.197368421052632;0.223684210526316;0.315789473684211;0.210526315789474;0.263157894736842;0.210526315789474;0.315789473684211;0.210526315789474;0.210526315789474;0.223684210526316;0.210526315789474;0.25;0.236842105263158;0.157894736842105;0.197368421052632;0.144736842105263;0.25;0.171052631578947;0.184210526315789;0.263157894736842;0.25;0.25;0.25;0.210526315789474;0.157894736842105;0.223684210526316;0.210526315789474;0.223684210526316;0.25;0.25;0.171052631578947;0.210526315789474;0.355263157894737;0.210526315789474;0.131578947368421;0.223684210526316;0.315789473684211;0.131578947368421;0.223684210526316;0.276315789473684;0.302631578947368;0.276315789473684;0.210526315789474;0.263157894736842;0.210526315789474;0.302631578947368;0.236842105263158;0.25;0.223684210526316;0.210526315789474;0.263157894736842;0.197368421052632;0.210526315789474;0.276315789473684;0.25;0.25;0.302631578947368;0.263157894736842;0.236842105263158;0.197368421052632;0.223684210526316;0.263157894736842;0.223684210526316;0.315789473684211;0.315789473684211;0.263157894736842;0.184210526315789;0.223684210526316;0.25;0.276315789473684;0.197368421052632;0.289473684210526;0.210526315789474;0.223684210526316;0.210526315789474;0.236842105263158;0.25	0.2875;0.175;0.2625;0.2375;0.2375;0.2375;0.2375;0.1875;0.1625;0.2;0.2125;0.2375;0.2875;0.2;0.2375;0.1875;0.175;0.2;0.2;0.25;0.2125;0.2;0.325;0.275;0.225;0.225;0.275;0.2625;0.2125;0.225;0.2;0.175;0.225;0.25;0.2875;0.225;0.225;0.225;0.175;0.2875;0.2125;0.25;0.25;0.275;0.1875;0.2;0.1875;0.175;0.225;0.2125;0.2125;0.2;0.2;0.1875;0.175;0.2125;0.25;0.2625;0.1875;0.2625;0.1375;0.2375;0.2;0.25;0.25;0.1875;0.2125;0.2;0.2375;0.225;0.2125;0.1875;0.2125;0.2;0.2625;0.2125;0.225;0.2125;0.2;0.15;0.15;0.2;0.225;0.2625;0.25;0.225;0.15;0.1875;0.275;0.15;0.25;0.225;0.1625;0.3
Acute lymphoblastic leukemia in childhood B cell precursor	0.666666666666667;0.5;0.666666666666667;0;0.833333333333333;0.833333333333333;0.166666666666667;0.833333333333333;0.666666666666667;0.333333333333333;0.5;0.5;0.5;0.5;0.666666666666667;0.333333333333333;0.333333333333333;0.333333333333333;0;0.5;0.333333333333333;0.166666666666667;0.333333333333333;0.333333333333333;0.5;0.5;0.166666666666667;0.333333333333333;0.666666666666667;0.333333333333333;0.333333333333333;0.333333333333333;0.333333333333333;0.333333333333333;0.666666666666667;0.333333333333333;0.5;0.666666666666667;0.666666666666667;0.5;0.5;0.333333333333333;0.333333333333333;0.666666666666667;0.666666666666667;0;0.333333333333333;0.333333333333333;0.5;0.5;0.666666666666667;0.166666666666667;0.5;0.666666666666667;0.666666666666667;0.5;0.5;0.333333333333333;0.5;0.166666666666667;0.5;0.5;0.166666666666667;0.333333333333333;0.5;0.666666666666667;0.333333333333333;0.333333333333333;0.666666666666667;0.333333333333333;0.5;0.166666666666667;0.5;0.333333333333333;0.166666666666667;0.166666666666667;0.166666666666667;0.5;0.5;0.166666666666667;0.166666666666667;0.5;0.5;0.666666666666667;0.5;0.166666666666667;0.166666666666667;0.333333333333333;0.333333333333333;0.5;0.166666666666667;0.666666666666667;0.5;0.5	0.666666666666667;0;0.5;0.666666666666667;0.5;0.5;0;0.166666666666667;0.666666666666667;0.333333333333333;0.666666666666667;0.166666666666667;0.333333333333333;0.5;0;0.833333333333333;0;0.166666666666667;0.666666666666667;0.333333333333333;0.5;0.5;0.166666666666667;0.333333333333333;0.666666666666667;0.333333333333333;0.666666666666667;0.333333333333333;0.333333333333333;0.5;0.666666666666667;0.5;0.5;0.333333333333333;0.333333333333333;0.333333333333333;0.5;0.166666666666667;0.333333333333333;0.333333333333333;0.166666666666667;0.166666666666667;0.5;0.5;0.166666666666667;0.333333333333333;0.333333333333333;0.333333333333333;0.5;0.333333333333333;0.333333333333333;0.833333333333333;0.833333333333333;0.166666666666667;0.166666666666667;0.166666666666667;0.166666666666667;0.333333333333333;0.5;0.5;0.666666666666667;0.833333333333333;0.166666666666667;0.833333333333333;0.333333333333333;0.666666666666667;0.333333333333333;0.666666666666667;0.666666666666667;0.333333333333333;0.166666666666667;0.5;0.666666666666667;0.833333333333333;0.333333333333333;0.5;0.666666666666667;0.5;0.5;0.333333333333333;0.333333333333333;0.333333333333333;0.333333333333333;0;0.5;0.5;0;0.333333333333333;0.166666666666667;0.333333333333333;0.5;0.333333333333333;0.333333333333333;0.5
Acute urticaria and angioedema non-steroidal anti-inflammatory drug-induced	0;0;0.125;0.25;0;0;0;0;0;0;0.125;0.25;0;0.125;0;0;0.125;0.25;0.125;0.125;0.125;0.125;0.125;0.25;0;0;0;0;0.25;0.125;0;0;0.125;0.125;0.125;0;0;0.125;0;0;0;0;0;0;0;0;0;0.125;0;0;0.125;0.125;0;0;0.125;0.125;0.125;0.125;0.125;0;0.125;0.125;0;0.125;0;0;0.125;0;0.125;0;0.125;0;0.25;0.125;0.125;0;0.25;0;0.125;0;0;0;0;0.125;0;0.125;0.125;0;0;0.25;0;0;0.125;0	0.25;0;0;0;0.125;0.125;0;0.125;0.125;0.125;0.25;0.125;0;0.125;0.125;0;0;0;0.25;0.125;0;0.25;0;0.125;0;0;0.25;0.125;0.125;0.125;0.25;0.125;0.125;0.125;0.125;0;0.125;0.125;0;0.125;0.125;0.25;0.125;0.125;0.25;0.125;0;0;0.125;0.25;0.125;0;0.25;0.125;0.25;0;0;0.125;0.125;0;0.125;0;0.25;0;0.125;0;0.125;0;0.125;0;0.25;0.25;0;0.25;0.125;0.125;0.25;0.25;0.125;0.125;0;0.125;0;0.125;0;0.25;0;0.125;0.125;0.125;0.125;0.125;0.125;0.25
Acylcarnitine levels	0.5;0.5625;0.4375;0.375;0.4375;0.6875;0.375;0.4375;0.6875;0.75;0.625;0.625;0.625;0.5;0.4375;0.5625;0.5;0.8125;0.4375;0.375;0.4375;0.5;0.5625;0.625;0.625;0.5625;0.5625;0.625;0.625;0.4375;0.4375;0.625;0.3125;0.625;0.6875;0.5625;0.5;0.5625;0.6875;0.6875;0.8125;0.5;0.5;0.6875;0.375;0.625;0.6875;0.6875;0.75;0.5625;0.375;0.5;0.625;0.625;0.5625;0.6875;0.5;0.5;0.4375;0.5;0.5;0.375;0.5;0.625;0.4375;0.625;0.6875;0.6875;0.5625;0.5625;0.625;0.4375;0.5625;0.5625;0.625;0.625;0.4375;0.5625;0.5;0.5;0.4375;0.75;0.5;0.5625;0.625;0.4375;0.5625;0.625;0.5;0.375;0.8125;0.4375;0.5625;0.5625	0.4375;0.6875;0.4375;0.625;0.625;0.6875;0.6875;0.4375;0.625;0.5625;0.6875;0.5;0.75;0.5;0.6875;0.6875;0.375;0.375;0.5;0.6875;0.5;0.75;0.75;0.8125;0.375;0.75;0.75;0.6875;0.5625;0.6875;0.4375;0.6875;0.375;0.75;0.4375;0.5625;0.6875;0.875;0.75;0.625;0.5625;0.625;0.5;0.6875;0.875;0.5625;0.5;0.4375;0.5625;0.625;0.75;0.8125;0.6875;0.6875;0.4375;0.5;0.6875;0.6875;0.625;0.6875;0.8125;0.5;0.625;0.625;0.625;0.5;0.5625;0.4375;0.5625;0.375;0.75;0.375;0.8125;0.625;0.5625;0.4375;0.4375;0.5;0.5625;0.5625;0.6875;0.3125;0.5625;0.375;0.4375;0.5;0.75;0.5625;0.6875;0.5625;0.625;0.4375;0.625;0.6875
ADAMTS13 activity	None	0.125;0.125;0;0.125;0;0;0.125;0;0;0.25;0.125;0;0.25;0;0.25;0.25;0;0.125;0.25;0;0.125;0.25;0;0.125;0;0;0.125;0.125;0.125;0.25;0;0.375;0.125;0.125;0;0.125;0.125;0.25;0.25;0.125;0.125;0.125;0.25;0.25;0;0.25;0.25;0;0.125;0.125;0.125;0;0;0.125;0;0.125;0.125;0.25;0.125;0.125;0.125;0.125;0.125;0.125;0;0;0.125;0;0.125;0;0;0.25;0.125;0.125;0;0;0.125;0.125;0.125;0.125;0;0.25;0.125;0;0;0.125;0.125;0;0;0.25;0.125;0.375;0;0.25
Adiponectin levels in pregnancy	1;0.833333333333333;1;0.833333333333333;0.833333333333333;1;0.666666666666667;0.5;0.666666666666667;0.833333333333333;0.666666666666667;1;1;1;1;1;0.666666666666667;1;0.833333333333333;0.666666666666667;0.666666666666667;0.666666666666667;0.833333333333333;0.833333333333333;0.666666666666667;1;1;0.833333333333333;0.833333333333333;0.833333333333333;0.666666666666667;1;0.833333333333333;0.833333333333333;1;1;0.833333333333333;0.833333333333333;1;0.833333333333333;1;0.833333333333333;0.833333333333333;0.666666666666667;0.833333333333333;0.833333333333333;0.666666666666667;0.666666666666667;0.833333333333333;0.5;1;1;0.833333333333333;0.5;0.833333333333333;0.666666666666667;0.666666666666667;0.833333333333333;1;0.833333333333333;1;0.666666666666667;0.333333333333333;0.833333333333333;1;0.666666666666667;1;0.833333333333333;0.666666666666667;0.666666666666667;1;0.833333333333333;0.5;1;1;0.666666666666667;0.833333333333333;0.5;0.666666666666667;0.666666666666667;0.833333333333333;0.833333333333333;0.666666666666667;0.666666666666667;0.833333333333333;0.833333333333333;1;1;0.833333333333333;0.666666666666667;0.666666666666667;0.833333333333333;0.833333333333333;0.833333333333333	0.666666666666667;0.666666666666667;0.833333333333333;1;0.5;1;0.666666666666667;0.666666666666667;0.666666666666667;0.666666666666667;0.833333333333333;1;0.833333333333333;0.333333333333333;0.833333333333333;0.833333333333333;0.833333333333333;0.833333333333333;0.833333333333333;0.833333333333333;0.833333333333333;1;0.833333333333333;1;0.833333333333333;0.666666666666667;0.666666666666667;1;0.666666666666667;0.666666666666667;0.833333333333333;0.833333333333333;0.666666666666667;0.666666666666667;0.833333333333333;1;0.833333333333333;0.833333333333333;1;0.833333333333333;0.5;0.833333333333333;0.666666666666667;0.666666666666667;0.833333333333333;1;0.833333333333333;0.833333333333333;0.833333333333333;1;0.833333333333333;0.666666666666667;0.833333333333333;0.833333333333333;0.833333333333333;0.833333333333333;0.833333333333333;0.666666666666667;1;0.833333333333333;0.666666666666667;1;0.833333333333333;0.833333333333333;0.833333333333333;1;0.666666666666667;0.666666666666667;0.666666666666667;0.833333333333333;1;0.833333333333333;1;0.666666666666667;1;1;0.833333333333333;0.5;1;0.833333333333333;0.666666666666667;1;1;0.666666666666667;0.5;0.5;0.833333333333333;0.666666666666667;1;0.833333333333333;1;0.666666666666667;0.666666666666667;0.833333333333333
Adiponectin levels	0.476744186046512;0.465116279069767;0.5;0.441860465116279;0.488372093023256;0.558139534883721;0.488372093023256;0.593023255813954;0.511627906976744;0.488372093023256;0.430232558139535;0.511627906976744;0.523255813953488;0.465116279069767;0.511627906976744;0.534883720930233;0.418604651162791;0.534883720930233;0.441860465116279;0.5;0.523255813953488;0.534883720930233;0.476744186046512;0.476744186046512;0.465116279069767;0.453488372093023;0.476744186046512;0.569767441860465;0.511627906976744;0.523255813953488;0.441860465116279;0.546511627906977;0.5;0.511627906976744;0.488372093023256;0.534883720930233;0.511627906976744;0.488372093023256;0.511627906976744;0.36046511627907;0.546511627906977;0.383720930232558;0.546511627906977;0.523255813953488;0.395348837209302;0.581395348837209;0.511627906976744;0.476744186046512;0.511627906976744;0.430232558139535;0.476744186046512;0.406976744186047;0.430232558139535;0.441860465116279;0.488372093023256;0.430232558139535;0.441860465116279;0.476744186046512;0.5;0.476744186046512;0.511627906976744;0.511627906976744;0.5;0.453488372093023;0.593023255813954;0.546511627906977;0.488372093023256;0.5;0.511627906976744;0.441860465116279;0.465116279069767;0.511627906976744;0.488372093023256;0.5;0.337209302325581;0.430232558139535;0.569767441860465;0.569767441860465;0.476744186046512;0.546511627906977;0.453488372093023;0.5;0.511627906976744;0.569767441860465;0.488372093023256;0.476744186046512;0.430232558139535;0.558139534883721;0.5;0.441860465116279;0.523255813953488;0.430232558139535;0.488372093023256;0.5	0.5;0.606382978723404;0.553191489361702;0.553191489361702;0.521276595744681;0.563829787234043;0.478723404255319;0.478723404255319;0.563829787234043;0.521276595744681;0.563829787234043;0.585106382978723;0.542553191489362;0.478723404255319;0.51063829787234;0.478723404255319;0.5;0.542553191489362;0.51063829787234;0.542553191489362;0.563829787234043;0.51063829787234;0.51063829787234;0.51063829787234;0.542553191489362;0.404255319148936;0.446808510638298;0.48936170212766;0.436170212765957;0.478723404255319;0.446808510638298;0.553191489361702;0.468085106382979;0.563829787234043;0.595744680851064;0.531914893617021;0.5;0.5;0.457446808510638;0.468085106382979;0.531914893617021;0.606382978723404;0.542553191489362;0.51063829787234;0.468085106382979;0.446808510638298;0.468085106382979;0.478723404255319;0.478723404255319;0.553191489361702;0.478723404255319;0.542553191489362;0.51063829787234;0.553191489361702;0.521276595744681;0.585106382978723;0.51063829787234;0.446808510638298;0.468085106382979;0.521276595744681;0.5;0.478723404255319;0.457446808510638;0.542553191489362;0.436170212765957;0.553191489361702;0.5;0.5;0.446808510638298;0.574468085106383;0.595744680851064;0.553191489361702;0.51063829787234;0.553191489361702;0.425531914893617;0.51063829787234;0.574468085106383;0.542553191489362;0.48936170212766;0.521276595744681;0.553191489361702;0.425531914893617;0.51063829787234;0.5;0.468085106382979;0.553191489361702;0.542553191489362;0.468085106382979;0.521276595744681;0.553191489361702;0.51063829787234;0.468085106382979;0.478723404255319;0.48936170212766
Adiposity	0.5;0.642857142857143;0.357142857142857;0.357142857142857;0.357142857142857;0.357142857142857;0.571428571428571;0.357142857142857;0.5;0.428571428571429;0.642857142857143;0.428571428571429;0.428571428571429;0.642857142857143;0.5;0.357142857142857;0.428571428571429;0.642857142857143;0.571428571428571;0.428571428571429;0.571428571428571;0.357142857142857;0.357142857142857;0.428571428571429;0.428571428571429;0.357142857142857;0.428571428571429;0.357142857142857;0.357142857142857;0.5;0.5;0.5;0.428571428571429;0.5;0.428571428571429;0.285714285714286;0.642857142857143;0.357142857142857;0.571428571428571;0.714285714285714;0.5;0.428571428571429;0.571428571428571;0.428571428571429;0.357142857142857;0.428571428571429;0.357142857142857;0.642857142857143;0.428571428571429;0.5;0.428571428571429;0.428571428571429;0.5;0.214285714285714;0.357142857142857;0.571428571428571;0.5;0.571428571428571;0.571428571428571;0.5;0.571428571428571;0.285714285714286;0.5;0.357142857142857;0.357142857142857;0.357142857142857;0.5;0.428571428571429;0.428571428571429;0.642857142857143;0.5;0.571428571428571;0.714285714285714;0.428571428571429;0.5;0.428571428571429;0.285714285714286;0.571428571428571;0.285714285714286;0.642857142857143;0.428571428571429;0.642857142857143;0.571428571428571;0.357142857142857;0.642857142857143;0.5;0.5;0.357142857142857;0.571428571428571;0.5;0.357142857142857;0.571428571428571;0.357142857142857;0.642857142857143	0.428571428571429;0.214285714285714;0.428571428571429;0.5;0.714285714285714;0.642857142857143;0.571428571428571;0.571428571428571;0.357142857142857;0.5;0.571428571428571;0.571428571428571;0.571428571428571;0.571428571428571;0.5;0.571428571428571;0.357142857142857;0.357142857142857;0.5;0.571428571428571;0.428571428571429;0.571428571428571;0.642857142857143;0.571428571428571;0.428571428571429;0.571428571428571;0.571428571428571;0.714285714285714;0.714285714285714;0.428571428571429;0.357142857142857;0.5;0.714285714285714;0.5;0.5;0.571428571428571;0.428571428571429;0.357142857142857;0.571428571428571;0.428571428571429;0.428571428571429;0.5;0.5;0.5;0.5;0.642857142857143;0.571428571428571;0.357142857142857;0.571428571428571;0.357142857142857;0.642857142857143;0.5;0.5;0.357142857142857;0.357142857142857;0.571428571428571;0.5;0.428571428571429;0.428571428571429;0.642857142857143;0.5;0.571428571428571;0.714285714285714;0.5;0.5;0.714285714285714;0.571428571428571;0.571428571428571;0.571428571428571;0.357142857142857;0.5;0.357142857142857;0.214285714285714;0.5;0.357142857142857;0.642857142857143;0.571428571428571;0.642857142857143;0.285714285714286;0.5;0.642857142857143;0.5;0.428571428571429;0.571428571428571;0.5;0.428571428571429;0.357142857142857;0.428571428571429;0.285714285714286;0.428571428571429;0.5;0.642857142857143;0.5;0.714285714285714
Adolescent idiopathic scoliosis severe	0;0.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.5;0;0;0;0;0;0;0;0;0;0;0.5;0.5;0;0;0;0;0;0;0.5;0;0;0;0;0;0;0;0.5;0.5;0.5;0;0;0;0;0;0;0;0;0;0;0;0;0.5;0;0;0.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.5;0;0;0	0;0;0.5;0.5;0;0;0;0;0;0;0.5;0;0.5;0;0;0;0.5;0;0;0;0.5;0.5;0;0.5;0.5;0.5;0;0.5;0.5;0;0;0;0;0;0;0;0.5;0.5;0;0;0;0;0;0;0.5;0;0.5;0;0;0;0;0;0;0.5;0;0;0;0;0;0;0;0;0.5;0;0.5;0;0;0.5;0;0;0;0.5;0;0;0;0;0;0;0;0.5;0;0;1;0;0;0;0;0.5;0;0;0.5;0.5;0;0.5
Adolescent idiopathic scoliosis	0.3;0.2;0.15;0.3;0.25;0.35;0.35;0.1;0.3;0.35;0.45;0.25;0.2;0.1;0.35;0.25;0.35;0.3;0.3;0.2;0.35;0.15;0.4;0.45;0.3;0.2;0.15;0.15;0.15;0.35;0.3;0.35;0.3;0.4;0.25;0.3;0.25;0.3;0.3;0.2;0.25;0.35;0.35;0.45;0.3;0.55;0.25;0.35;0.15;0.1;0.25;0.15;0.25;0.3;0.35;0.35;0.35;0.55;0.3;0.25;0.3;0.35;0.3;0.2;0.25;0.15;0.25;0.15;0.35;0.3;0.3;0.3;0.4;0.15;0.35;0.35;0.25;0.15;0.25;0.4;0.2;0.2;0.25;0.35;0.4;0.05;0.2;0.25;0.35;0.3;0.25;0.15;0.1;0.3	0.222222222222222;0.222222222222222;0.277777777777778;0.388888888888889;0.222222222222222;0.388888888888889;0.388888888888889;0.111111111111111;0.277777777777778;0.555555555555556;0.277777777777778;0.444444444444444;0.333333333333333;0.388888888888889;0.555555555555556;0.333333333333333;0.333333333333333;0.444444444444444;0.333333333333333;0.444444444444444;0.277777777777778;0.111111111111111;0.333333333333333;0.277777777777778;0.444444444444444;0.388888888888889;0.5;0.444444444444444;0.333333333333333;0.222222222222222;0.277777777777778;0.277777777777778;0.333333333333333;0.111111111111111;0.333333333333333;0.333333333333333;0.166666666666667;0.333333333333333;0.333333333333333;0.222222222222222;0.277777777777778;0.388888888888889;0.222222222222222;0.277777777777778;0.166666666666667;0.333333333333333;0.444444444444444;0.388888888888889;0.333333333333333;0.333333333333333;0.277777777777778;0.277777777777778;0.277777777777778;0.388888888888889;0.388888888888889;0.277777777777778;0.277777777777778;0.5;0.222222222222222;0.333333333333333;0.555555555555556;0.5;0.333333333333333;0.277777777777778;0.277777777777778;0.388888888888889;0.277777777777778;0.388888888888889;0.166666666666667;0.222222222222222;0.388888888888889;0.333333333333333;0.5;0.277777777777778;0.333333333333333;0.333333333333333;0.388888888888889;0.333333333333333;0.388888888888889;0.333333333333333;0.277777777777778;0.388888888888889;0.388888888888889;0.277777777777778;0.277777777777778;0.333333333333333;0.388888888888889;0.222222222222222;0.277777777777778;0.333333333333333;0.277777777777778;0.222222222222222;0.388888888888889;0.166666666666667
Adverse response to chemotherapy in breast cancer alopecia anti-microtubule	0.0833333333333333;0.0833333333333333;0.166666666666667;0.0833333333333333;0.166666666666667;0.0833333333333333;0.0833333333333333;0.166666666666667;0.25;0.166666666666667;0.25;0.0833333333333333;0.166666666666667;0.0833333333333333;0.333333333333333;0.166666666666667;0.166666666666667;0.166666666666667;0.166666666666667;0.166666666666667;0.333333333333333;0;0.166666666666667;0.166666666666667;0.0833333333333333;0.166666666666667;0.166666666666667;0.0833333333333333;0.166666666666667;0.0833333333333333;0.166666666666667;0.25;0.25;0.25;0.25;0.166666666666667;0.0833333333333333;0.166666666666667;0.166666666666667;0;0.166666666666667;0.0833333333333333;0.166666666666667;0.0833333333333333;0.166666666666667;0.166666666666667;0.166666666666667;0.166666666666667;0.0833333333333333;0.0833333333333333;0.166666666666667;0;0.166666666666667;0.0833333333333333;0.25;0.25;0.25;0.166666666666667;0.166666666666667;0.166666666666667;0.25;0.25;0.25;0.333333333333333;0.166666666666667;0.0833333333333333;0.166666666666667;0.166666666666667;0.25;0.166666666666667;0.25;0.166666666666667;0.166666666666667;0.0833333333333333;0.25;0.0833333333333333;0.166666666666667;0.166666666666667;0.0833333333333333;0.166666666666667;0.0833333333333333;0.166666666666667;0.166666666666667;0.0833333333333333;0.166666666666667;0.25;0.25;0.25;0.166666666666667;0.25;0.166666666666667;0.25;0.166666666666667;0.166666666666667	0.285714285714286;0.214285714285714;0.142857142857143;0.214285714285714;0.0714285714285714;0.285714285714286;0.214285714285714;0.214285714285714;0.214285714285714;0.142857142857143;0.214285714285714;0.214285714285714;0;0.0714285714285714;0.0714285714285714;0.0714285714285714;0.214285714285714;0.214285714285714;0.214285714285714;0.142857142857143;0.0714285714285714;0.214285714285714;0.214285714285714;0.0714285714285714;0.214285714285714;0.142857142857143;0.214285714285714;0;0.0714285714285714;0.214285714285714;0.285714285714286;0.142857142857143;0.214285714285714;0.0714285714285714;0.214285714285714;0.214285714285714;0.142857142857143;0.0714285714285714;0.142857142857143;0.214285714285714;0.285714285714286;0.214285714285714;0.214285714285714;0.214285714285714;0.142857142857143;0.214285714285714;0;0.142857142857143;0.214285714285714;0.0714285714285714;0.214285714285714;0.285714285714286;0.214285714285714;0.214285714285714;0.285714285714286;0.214285714285714;0.214285714285714;0.214285714285714;0.285714285714286;0.142857142857143;0.142857142857143;0.285714285714286;0.0714285714285714;0;0.214285714285714;0.214285714285714;0.214285714285714;0.214285714285714;0.142857142857143;0.0714285714285714;0.142857142857143;0.142857142857143;0.142857142857143;0.142857142857143;0.142857142857143;0;0.285714285714286;0.0714285714285714;0.142857142857143;0.214285714285714;0.214285714285714;0.285714285714286;0;0.0714285714285714;0.214285714285714;0.142857142857143;0.142857142857143;0.214285714285714;0.142857142857143;0.214285714285714;0.142857142857143;0.142857142857143;0.214285714285714;0.0714285714285714
Adverse response to chemotherapy in breast cancer alopecia cyclophosphamide+doxorubicin+-over--5FU	0.333333333333333;0.333333333333333;0.416666666666667;0.416666666666667;0.25;0.25;0.166666666666667;0.0833333333333333;0.25;0.166666666666667;0.333333333333333;0.333333333333333;0;0.333333333333333;0.166666666666667;0.25;0.416666666666667;0.25;0.166666666666667;0.416666666666667;0.166666666666667;0.416666666666667;0.333333333333333;0.333333333333333;0.333333333333333;0.25;0.333333333333333;0.5;0.333333333333333;0.25;0.166666666666667;0.25;0.166666666666667;0.333333333333333;0.25;0.416666666666667;0.333333333333333;0.25;0.333333333333333;0.333333333333333;0.333333333333333;0.166666666666667;0.25;0.416666666666667;0.416666666666667;0.25;0.25;0.416666666666667;0.166666666666667;0.416666666666667;0.25;0.166666666666667;0.416666666666667;0.333333333333333;0.166666666666667;0.166666666666667;0.166666666666667;0.333333333333333;0.5;0.416666666666667;0.416666666666667;0.25;0.5;0.25;0.0833333333333333;0.25;0.333333333333333;0.0833333333333333;0.166666666666667;0.333333333333333;0.333333333333333;0.333333333333333;0.333333333333333;0.166666666666667;0.166666666666667;0.333333333333333;0;0.333333333333333;0.25;0.25;0.166666666666667;0.333333333333333;0.416666666666667;0.416666666666667;0.25;0.416666666666667;0.25;0.416666666666667;0.416666666666667;0.166666666666667;0.333333333333333;0.0833333333333333;0.333333333333333;0.333333333333333	0.5625;0.4375;0.5;0.3125;0.4375;0.375;0.5;0.3125;0.1875;0.4375;0.4375;0.4375;0.5;0.5625;0.625;0.5;0.4375;0.3125;0.4375;0.375;0.5;0.4375;0.625;0.375;0.5;0.5625;0.375;0.3125;0.5;0.3125;0.375;0.375;0.375;0.5;0.5;0.25;0.4375;0.4375;0.5;0.4375;0.5;0.3125;0.5;0.5;0.4375;0.4375;0.25;0.5625;0.25;0.375;0.375;0.4375;0.375;0.4375;0.4375;0.5;0.5;0.5;0.5;0.5625;0.5;0.4375;0.375;0.375;0.5;0.4375;0.5;0.4375;0.5;0.5;0.4375;0.4375;0.4375;0.5;0.4375;0.5;0.5;0.25;0.3125;0.375;0.5625;0.5;0.5;0.5625;0.375;0.5;0.3125;0.5;0.5;0.5625;0.375;0.4375;0.5;0.5625
